timestamp,open (MYR),high (MYR),low (MYR),close (MYR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-08-15,108255.58350000,112291.21928000,106314.57484000,106960.58300000,24305.25000000,25211.32000000,23869.46000000,24014.50000000,110056.97118000,110056.97118000
2022-08-14,108869.38924000,111561.83224000,107537.37600000,108255.53896000,24443.06000000,25047.56000000,24144.00000000,24305.24000000,151206.14473000,151206.14473000
2022-08-13,108685.17180000,110851.15200000,108193.09388000,108861.90652000,24401.70000000,24888.00000000,24291.22000000,24441.38000000,152852.25435000,152852.25435000
2022-08-12,106597.98286000,108929.25100000,105038.68200000,108693.99072000,23933.09000000,24456.50000000,23583.00000000,24403.68000000,174207.57040000,174207.57040000
2022-08-11,106691.33870000,110987.17716000,106237.38702000,106603.77306000,23954.05000000,24918.54000000,23852.13000000,23934.39000000,249759.79557000,249759.79557000
2022-08-10,103115.97928000,107902.60400000,100948.52926000,106691.33870000,23151.32000000,24226.00000000,22664.69000000,23954.05000000,208916.54953000,208916.54953000
2022-08-09,106054.10492000,106598.69550000,101840.71000000,103109.87730000,23810.98000000,23933.25000000,22865.00000000,23149.95000000,143182.50858000,143182.50858000
2022-08-08,103218.73306000,107987.23000000,103129.02950000,106049.74000000,23174.39000000,24245.00000000,23154.25000000,23810.00000000,170958.44152000,170958.44152000
2022-08-07,102238.05134000,104232.50800000,101749.93748000,103218.73306000,22954.21000000,23402.00000000,22844.62000000,23174.39000000,88890.00877000,88890.00877000
2022-08-06,103838.59624000,104020.31944000,102039.00208000,102238.05134000,23313.56000000,23354.36000000,22909.52000000,22954.21000000,83911.80307000,83911.80307000
2022-08-05,100760.21414000,104548.11844000,100602.27530000,103833.51868000,22622.41000000,23472.86000000,22586.95000000,23312.42000000,175251.69749000,175251.69749000
2022-08-04,101626.51714000,103436.66728000,99769.60000000,100762.75292000,22816.91000000,23223.32000000,22400.00000000,22622.98000000,154854.67016000,154854.67016000
2022-08-03,102379.33222000,105326.76672000,101022.15388000,101633.01998000,22985.93000000,23647.68000000,22681.22000000,22818.37000000,145948.80995000,145948.80995000
2022-08-02,103630.77260000,104490.35006000,100902.56398000,102387.61666000,23266.90000000,23459.89000000,22654.37000000,22987.79000000,158073.28225000,158073.28225000
2022-08-01,103761.98744000,104712.11472000,101773.90000000,103635.71654000,23296.36000000,23509.68000000,22850.00000000,23268.01000000,144210.16219000,144210.16219000
2022-07-31,105313.22656000,107763.72828000,103454.43874000,103748.44728000,23644.64000000,24194.82000000,23227.31000000,23293.32000000,127743.32483000,127743.32483000
2022-07-30,105904.00512000,109871.27200000,104679.02150000,105308.19354000,23777.28000000,24668.00000000,23502.25000000,23643.51000000,151060.13211000,151060.13211000
2022-07-29,106206.74350000,108867.60764000,104286.08962000,105888.28250000,23845.25000000,24442.66000000,23414.03000000,23773.75000000,198298.50623000,198298.50623000
2022-07-28,102238.49674000,107785.55288000,100580.80702000,106196.41022000,22954.31000000,24199.72000000,22582.13000000,23842.93000000,236029.07410000,236029.07410000
2022-07-27,94668.30018000,102943.65402000,93723.42862000,102230.21230000,21254.67000000,23112.63000000,21042.53000000,22952.45000000,210971.19796000,210971.19796000
2022-07-26,94918.74860000,95083.19028000,92226.75100000,94668.30018000,21310.90000000,21347.82000000,20706.50000000,21254.67000000,177817.24326000,177817.24326000
2022-07-25,100558.53702000,100954.36400000,94647.50000000,94918.74860000,22577.13000000,22666.00000000,21250.00000000,21310.90000000,180344.76643000,180344.76643000
2022-07-24,99985.97532000,102507.20656000,99133.34610000,100569.89472000,22448.58000000,23014.64000000,22257.15000000,22579.68000000,115189.67277000,115189.67277000
2022-07-23,101038.23282000,102445.42958000,97696.57478000,99997.06578000,22684.83000000,23000.77000000,21934.57000000,22451.07000000,122137.77375000,122137.77375000
2022-07-22,103119.85426000,105811.40646000,100215.00000000,101038.23282000,23152.19000000,23756.49000000,22500.00000000,22684.83000000,171598.43966000,171598.43966000
2022-07-21,103436.57820000,104414.09758000,99508.86284000,103119.85426000,23223.30000000,23442.77000000,22341.46000000,23152.19000000,184817.68191000,184817.68191000
2022-07-20,104216.82992000,108128.59996000,102024.17026000,103436.57820000,23398.48000000,24276.74000000,22906.19000000,23223.30000000,238762.17094000,238762.17094000
2022-07-19,99914.71132000,106005.20000000,96115.27116000,104208.54548000,22432.58000000,23800.00000000,21579.54000000,23396.62000000,263770.76574000,263770.76574000
2022-07-18,92641.32932000,101451.56402000,92475.95230000,99914.71132000,20799.58000000,22777.63000000,20762.45000000,22432.58000000,239942.73132000,239942.73132000
2022-07-17,94405.20240000,96582.94116000,92420.54454000,92635.00464000,21195.60000000,21684.54000000,20750.01000000,20798.16000000,118229.45250000,118229.45250000
2022-07-16,92776.99816000,96157.13876000,91211.72894000,94405.20240000,20830.04000000,21588.94000000,20478.61000000,21195.60000000,121011.67393000,121011.67393000
2022-07-15,91702.69336000,94424.80000000,90782.71966000,92776.99816000,20588.84000000,21200.00000000,20382.29000000,20830.04000000,143343.30490000,143343.30490000
2022-07-14,90126.11098000,93088.60000000,87369.97578000,91702.69336000,20234.87000000,20900.00000000,19616.07000000,20588.84000000,174809.21696000,174809.21696000
2022-07-13,86101.52112000,90712.88094000,84229.32676000,90126.11098000,19331.28000000,20366.61000000,18910.94000000,20234.87000000,209250.24888000,209250.24888000
2022-07-12,88917.91894000,89344.65668000,85694.96000000,86090.25250000,19963.61000000,20059.42000000,19240.00000000,19328.75000000,139506.45862000,139506.45862000
2022-07-11,92915.38394000,92948.20992000,88524.27442000,88917.91894000,20861.11000000,20868.48000000,19875.23000000,19963.61000000,137535.40724000,137535.40724000
2022-07-10,96171.43610000,96240.47310000,91997.37000000,92921.44138000,21592.15000000,21607.65000000,20655.00000000,20862.47000000,192188.21556000,192188.21556000
2022-07-09,96183.01650000,97898.92000000,94968.72248000,96170.01082000,21594.75000000,21980.00000000,21322.12000000,21591.83000000,178417.84468000,178417.84468000
2022-07-08,96317.70546000,100336.90598000,94376.96404000,96183.01650000,21624.99000000,22527.37000000,21189.26000000,21594.75000000,403081.57349000,403081.57349000
2022-07-07,91594.32754000,97266.89740000,90200.98272000,96317.66092000,20564.51000000,21838.10000000,20251.68000000,21624.98000000,85014.58261000,85014.58261000
2022-07-06,89863.19136000,92087.42988000,88016.60750000,91594.32754000,20175.84000000,20675.22000000,19761.25000000,20564.51000000,82439.58080000,82439.58080000
2022-07-05,90134.30634000,92420.50000000,85981.79760000,89863.14682000,20236.71000000,20750.00000000,19304.40000000,20175.83000000,96041.13756000,96041.13756000
2022-07-04,86032.70682000,90656.76054000,84872.35074000,90134.30634000,19315.83000000,20354.01000000,19055.31000000,20236.71000000,74814.04601000,74814.04601000
2022-07-03,85752.06028000,87510.54402000,83650.57400000,86032.70682000,19252.82000000,19647.63000000,18781.00000000,19315.83000000,51087.46631000,51087.46631000
2022-07-02,85872.22920000,86707.75506000,84523.60254000,85752.01574000,19279.80000000,19467.39000000,18977.01000000,19252.81000000,46180.30210000,46180.30210000
2022-07-01,88822.60334000,93170.33090000,84514.65000000,85872.22920000,19942.21000000,20918.35000000,18975.00000000,19279.80000000,111844.59494000,111844.59494000
2022-06-30,89627.84200000,89877.62232000,82960.20400000,88822.60334000,20123.00000000,20179.08000000,18626.00000000,19942.21000000,93846.64806000,93846.64806000
2022-06-29,90332.82112000,91005.50874000,88433.81368000,89627.88654000,20281.28000000,20432.31000000,19854.92000000,20123.01000000,77309.04379000,77309.04379000
2022-06-28,92387.40678000,94478.69340000,89979.75254000,90332.86566000,20742.57000000,21212.10000000,20202.01000000,20281.29000000,63801.08320000,63801.08320000
2022-06-27,93703.60832000,95938.49190000,91351.54000000,92387.36224000,21038.08000000,21539.85000000,20510.00000000,20742.56000000,64475.00130000,64475.00130000
2022-06-26,95721.71572000,97489.15200000,93376.90742000,93703.56378000,21491.18000000,21888.00000000,20964.73000000,21038.07000000,53278.10464000,53278.10464000
2022-06-25,94592.62672000,96270.98300000,93118.08548000,95721.76026000,21237.68000000,21614.50000000,20906.62000000,21491.19000000,51431.67794000,51431.67794000
2022-06-24,94024.47448000,96021.15814000,92361.35088000,94592.67126000,21110.12000000,21558.41000000,20736.72000000,21237.69000000,77430.36622000,77430.36622000
2022-06-23,89026.55200000,94571.78200000,88590.37178000,94024.51902000,19988.00000000,21233.00000000,19890.07000000,21110.13000000,83127.08716000,83127.08716000
2022-06-22,92302.51354000,93088.60000000,88057.85154000,89026.50746000,20723.51000000,20900.00000000,19770.51000000,19987.99000000,92133.97938000,92133.97938000
2022-06-21,91636.15060000,96754.24200000,90631.77360000,92302.55808000,20573.90000000,21723.00000000,20348.40000000,20723.52000000,104371.07490000,104371.07490000
2022-06-20,91636.59600000,93934.86000000,87463.33162000,91636.10606000,20574.00000000,21090.00000000,19637.03000000,20573.89000000,109028.94154000,109028.94154000
2022-06-19,84495.89866000,92714.24130000,79995.66614000,91636.59600000,18970.79000000,20815.95000000,17960.41000000,20574.00000000,128320.87595000,128320.87595000
2022-06-18,91168.07974000,92607.83524000,78488.38800000,84495.89866000,20468.81000000,20792.06000000,17622.00000000,18970.79000000,196441.65552400,196441.65552400
2022-06-17,90864.27240000,95161.62522000,90178.62364000,91168.07974000,20400.60000000,21365.43000000,20246.66000000,20468.81000000,86694.33663000,86694.33663000
2022-06-16,100587.88888000,102422.98142000,90113.32800000,90867.43474000,22583.72000000,22995.73000000,20232.00000000,20401.31000000,99673.59429000,99673.59429000
2022-06-15,98595.61468000,101551.20000000,89577.15548000,100587.88888000,22136.42000000,22800.00000000,20111.62000000,22583.72000000,200774.49346700,200774.49346700
2022-06-14,100149.39258000,104058.26752000,92848.08400000,98595.57014000,22485.27000000,23362.88000000,20846.00000000,22136.41000000,187201.64671000,187201.64671000
2022-06-13,118362.95662000,119794.07136000,97657.37958000,100158.92414000,26574.53000000,26895.84000000,21925.77000000,22487.41000000,254611.03496600,254611.03496600
2022-06-12,126603.65834000,127139.25184000,118298.24000000,118362.95662000,28424.71000000,28544.96000000,26560.00000000,26574.53000000,92474.59880900,92474.59880900
2022-06-11,129575.18898000,131127.58614000,125157.35546000,126603.61380000,29091.87000000,29440.41000000,28099.99000000,28424.70000000,65901.39895000,65901.39895000
2022-06-10,134109.62822000,135324.99120000,128497.90000000,129575.23352000,30109.93000000,30382.80000000,28850.00000000,29091.88000000,76204.24980000,76204.24980000
2022-06-09,134532.04558000,136737.80000000,133371.02140000,134109.62822000,30204.77000000,30700.00000000,29944.10000000,30109.93000000,46291.18650000,46291.18650000
2022-06-08,138632.17528000,139531.43788000,132924.64152000,134532.04558000,31125.32000000,31327.22000000,29843.88000000,30204.77000000,68542.61276000,68542.61276000
2022-06-07,139735.78740000,140700.07840000,130141.24784000,138632.21982000,31373.10000000,31589.60000000,29218.96000000,31125.33000000,110674.51658000,110674.51658000
2022-06-06,133260.11680000,141484.16056000,133131.08442000,139735.78740000,29919.20000000,31765.64000000,29890.23000000,31373.10000000,68836.92456000,68836.92456000
2022-06-05,133014.38962000,134461.80600000,131532.94468000,133260.16134000,29864.03000000,30189.00000000,29531.42000000,29919.21000000,23139.92810000,23139.92810000
2022-06-04,132284.73534000,133570.47152000,131326.19000000,133014.43416000,29700.21000000,29988.88000000,29485.00000000,29864.04000000,25617.90113000,25617.90113000
2022-06-03,135636.01402000,136733.34600000,130423.63144000,132284.73534000,30452.63000000,30699.00000000,29282.36000000,29700.21000000,54067.44727000,54067.44727000
2022-06-02,132755.21136000,136688.80600000,131814.12570000,135635.96948000,29805.84000000,30689.00000000,29594.55000000,30452.62000000,56961.42928000,56961.42928000
